frame_size,loss,rtt,fec,protection_ratio,protection_absolute,size_bin
38,2,126,4.0,2.0,2.0,21-50
43,2,87,4.0,2.0,2.0,21-50
100,1,122,7.0,7.0,6.0,51-100
33,1,67,3.0,3.0,2.0,21-50
7,1,67,2.0,2.0,1.0,0-10
29,1,63,2.0,2.0,1.0,21-50
31,1,70,2.0,2.0,1.0,21-50
28,2,60,2.0,1.0,0.0,21-50
38,1,78,3.0,3.0,2.0,21-50
35,1,58,2.0,2.0,1.0,21-50
38,1,94,3.0,3.0,2.0,21-50
41,1,63,3.0,3.0,2.0,21-50
79,1,51,3.0,3.0,2.0,51-100
44,1,70,3.0,3.0,2.0,21-50
45,2,89,4.0,2.0,2.0,21-50
37,2,65,3.0,1.5,1.0,21-50
30,2,81,3.0,1.5,1.0,21-50
33,1,56,3.0,3.0,2.0,21-50
30,1,54,3.0,3.0,2.0,21-50
35,2,65,2.0,1.0,0.0,21-50
42,1,65,3.0,3.0,2.0,21-50
36,1,71,3.0,3.0,2.0,21-50
33,1,62,2.0,2.0,1.0,21-50
33,2,60,2.0,1.0,0.0,21-50
49,1,54,4.0,4.0,3.0,21-50
33,2,66,2.0,1.0,0.0,21-50
35,1,66,3.0,3.0,2.0,21-50
62,2,70,3.0,1.5,1.0,51-100
38,1,73,2.0,2.0,1.0,21-50
33,1,85,2.0,2.0,1.0,21-50
18,1,69,2.0,2.0,1.0,11-20
27,1,71,2.0,2.0,1.0,21-50
24,1,72,2.0,2.0,1.0,21-50
20,1,48,1.0,1.0,0.0,11-20
21,2,50,1.0,0.5,-1.0,21-50
25,1,89,2.0,2.0,1.0,21-50
24,1,81,2.0,2.0,1.0,21-50
31,1,82,2.0,2.0,1.0,21-50
34,1,106,2.0,2.0,1.0,21-50
37,1,78,3.0,3.0,2.0,21-50
70,1,63,5.0,5.0,4.0,51-100
61,1,85,4.0,4.0,3.0,51-100
25,1,96,2.0,2.0,1.0,21-50
33,2,94,3.0,1.5,1.0,21-50
55,2,60,4.0,2.0,2.0,51-100
54,2,63,4.0,2.0,2.0,51-100
26,1,75,2.0,2.0,1.0,21-50
37,2,118,3.0,1.5,1.0,21-50
42,1,70,3.0,3.0,2.0,21-50
45,1,80,3.0,3.0,2.0,21-50
31,2,65,2.0,1.0,0.0,21-50
23,1,63,2.0,2.0,1.0,21-50
40,1,66,3.0,3.0,2.0,21-50
34,1,80,2.0,2.0,1.0,21-50
34,1,111,2.0,2.0,1.0,21-50
43,1,80,3.0,3.0,2.0,21-50
41,1,73,3.0,3.0,2.0,21-50
32,1,72,2.0,2.0,1.0,21-50
1,1,74,1.0,1.0,0.0,0-10
56,4,88,5.0,1.25,1.0,51-100
63,2,92,6.0,3.0,4.0,51-100
51,1,109,5.0,5.0,4.0,51-100
57,3,73,5.0,1.6666666666666667,2.0,51-100
50,1,75,4.0,4.0,3.0,21-50
47,2,53,5.0,2.5,3.0,21-50
39,3,84,3.0,1.0,0.0,21-50
32,1,76,2.0,2.0,1.0,21-50
34,1,78,2.0,2.0,1.0,21-50
33,1,74,2.0,2.0,1.0,21-50
32,1,69,2.0,2.0,1.0,21-50
29,1,100,2.0,2.0,1.0,21-50
48,1,70,3.0,3.0,2.0,21-50
27,1,81,2.0,2.0,1.0,21-50
25,1,65,2.0,2.0,1.0,21-50
32,1,64,2.0,2.0,1.0,21-50
25,1,64,2.0,2.0,1.0,21-50
